tag,message
ham,Geeeee ... I love you so much I can barely stand it
ham,See the forwarding message for proof
ham,Thank u!
ham,It certainly puts things into perspective when something like this happens
ham,Yo dude guess who just got arrested the other day
ham,Same to u...
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
ham,Yes:)from last week itself i'm taking live call.
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
ham,IM LATE TELLMISS IM ON MY WAY
ham,Arun can u transfr me d amt
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? 
ham,Oh that was a forwarded message. I thought you send that to me
ham,"K so am I, how much for an 8th? Fifty?"
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
ham,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do
ham,Ok then i will come to ur home after half an hour
ham,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\"""""
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
ham,Will Ì_ b going to esplanade fr home?
ham,K.k.how is your business now?
ham,I send the print  outs da.
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,Tell me they're female :V how're you throwing in? We're deciding what all to get now
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
ham,K sure am in my relatives home. Sms me de. Pls:-)
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
ham,So are you guys asking that i get that slippers again or its gone with last year
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
ham,When are you guys leaving?
ham,Thanks for understanding. I've been trying to tell sura that.
ham,Staff of placement training in Amrita college.
ham,Are you wet right now?
ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Oi when you gonna ring
ham,"Sure thing big man. i have hockey elections at 6, shouldnÛ÷t go on longer than an hour though"
ham,Y lei?
ham,Call me when u finish then i come n pick u.
ham,Great comedy..cant stop laughing da:)
ham,Sorry completely forgot * will pop em round this week if your still here?
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,Ok both our days. So what are you making for dinner tonite? Am I invited?
ham,happened here while you were adventuring
ham,Hows the pain dear?y r u smiling?
ham,Beauty sleep can help ur pimples too.
ham,Not a drop in the tank
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
ham,If you have belive me. Come to my home.
ham,"Excellent, I'll see what riley's plans are"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
ham,Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,Ok i msg u b4 i leave my house.
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,There bold 2  &lt;#&gt; . Is that yours
ham,"And very importantly, all we discuss is between u and i only."
ham,Re your call; You didn't see my facebook huh?
ham,"Its ok., i just askd did u knw tht no?"
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
