tag,message
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,U still painting ur wall?
ham,"Lol, oh you got a friend for the dog ?"
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,I'm stuck in da middle of da row on da right hand side of da lt... 
ham,did u get that message
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,Ok then no need to tell me anything i am going to sleep good night
ham,"Yep, by the pretty sculpture"
ham,Does uncle timi help in clearing cars
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
ham,Watching tv lor...
ham,soon you will have the real thing princess! Do i make you wet? :)
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
ham,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
ham,Yes. Nigh you cant aha.
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
ham,You said to me before i went back to bed that you can't sleep for anything.
ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
ham,And maybe some pressies
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,Hey! There's veggie pizza... :/
ham,I am in hospital da. . I will return home in evening
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,No b4 Thursday
ham,I was gonna ask you lol but i think its at 7
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,"Theoretically yeah, he could be able to come"
ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? 
ham,Ok anyway no need to change with what you said
ham,G.W.R
ham,I dun believe u. I thk u told him.
ham,"Fuuuuck I need to stop sleepin, sup"
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,Yes:)sura in sun tv.:)lol.
ham,My exam is for february 4. Wish you a great day.
ham,What * u wearing?
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,Ok lor. I'm in town now lei.
ham,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.
ham,I'm gonna rip out my uterus.
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,In meeting da. I will call you
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
ham,"Night night, see you tomorrow"
ham,"I'm back, lemme know when you're ready"
ham,I thank you so much for all you do with selflessness. I love you plenty.
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
ham,Jay's getting really impatient and belligerent
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,Then. You are eldest know.
ham,Ok... Ur typical reply...
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish 
ham,K. I will sent it again
ham,No problem. We will be spending a lot of quality time together...
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
ham,"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\"""""
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
ham,Your pussy is perfect!
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
ham,Didn't you get hep b immunisation in nigeria.
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,Huh i cant thk of more oredi how many pages do we have?
ham,No i am not having not any movies in my laptop
ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
ham,Quite lor. But dun tell him wait he get complacent...
ham,"This is one of the days you have a billion classes, right?"
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,"Alright, we're all set here, text the man"
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham,"It's ok, at least armand's still around"
ham,Watching ajith film ah?
ham,"Sure, whenever you show the fuck up &gt;:("
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,I wait 4 Ì_ inside da car park...
ham,I fetch yun or u fetch?
ham,I'm also came to room.
ham,Roger that. WeÛ÷re probably going to rem in about 20
ham,"Probably gonna be here for a while, see you later tonight &lt;)"
ham,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
ham,How much did ur hdd casing cost.
ham,"They can try! They can get lost, in fact. Tee hee"
ham,I am literally in bed and have been up for like  &lt;#&gt;  hours
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
ham,I've reached sch already...
ham,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
ham,"Nah man, my car is meant to be crammed full of people"
ham,K come to nordstrom when you're done
ham,Hi:)did you asked to waheeda fathima about leave?
ham,"Hm good morning, headache anyone? :-)"
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
ham,Well. You know what i mean. Texting
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,Oh... Kay... On sat right?
ham,His bday real is in april .
ham,I forgot 2 ask Ì_ all smth.. There's a card on da present lei... How? ÌÏ all want 2 write smth or sign on it?
ham,Thats cool princess! I will cover your face in hot sticky cum :)
ham,I am waiting machan. Call me once you free.
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
ham,"Did you say bold, then torch later. Or one torch and 2bold?"
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
