tag,message_transformed
0,eaten day sit stare juici pizza ca eat med ruin life
0,10 min later k
0,heehe funni tho
0,think need go late school night especi one class one miss last wednesday probabl fail test friday
0,tri neva mate
0,infact happi new year see
0,havent
0,ya go restaur
0,deep sigh miss realli surpris gone net cafe yet get miss
0,made day great day
0,come right ahmad
0,hey go jazz power yoga hip hop kb yogasana
0,think match
0,dear call accomod
0,oh usual vijay film differ
0,thanx 4 2day u r goodmat think ur rite sari asusu 1 u cheer love u franyxxxxx
0,mm way railway
0,ìï readi call
0,come room point iron plan weekend
0,ok cool see ya
0,hi im relax time ever get 7am everi day parti good night get home tomorrow 5ish
0,lol would awesom payback
0,u meet fren dun wan meet ah muz b guy rite
0,let know chang next 6hr even appendix age rang howev imposs chill let know 6hr
0,u go ikea str aft dat
0,hey glad u r better hear u treat urself digi cam good r 9pm fab new year c u coupla wk
0,way put skip right outsid front hous see hous pull
0,yet like keep touch easiest way barcelona way ru hous
0,boy love gal propsd bt didnt mind gv lv lttr bt frnd threw thm boy decid 2 aproach gal dt time truck speed toward gal wn 2 hit girl boy ran like hell n save ask cn u run fast boy repli secret n instantli girl shout n thi live happili 2gthr drink boost evrydi moral stori hv free msg gud ni8
0,oh send address
0,plan stay night prolli wo back til late
0,gr8 handl victoria island traffic plu album due
0,anyth lor
0,u go doctor 4 liver get bit stylish get ur hair manag that
0,super da good replac murali
0,head dey swell oh thank make day
0,si catch e show e afternoon watch w c u wan 2 watch today tmr lor
0,takin shower yeah leav done
0,room number wan na make sure knock right door
0,probabl money worri thing come due sever outstand invoic work two three month ago
0,pl ask macho much budget bb bold 2 co saw new one lt gt dollar
0,when radio show
0,actual fuck whatev find excus tampa point januari though
0,nope think go monday sorri repli late
0,thank honey still heard anyth leav bit longer 2 crowd tri later great advic thank hope cardiff still
0,noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also sure trust 9ja person send account detail co
0,problem babi good time talk call left messag
0,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
0,hey what u sleep morn
0,hey go quit soon xuhui work till end month
0,good movi ok leav hourish
0,god pick flower dippeditinadew lovingli touch itwhichturnedinto u gift tomeandsaid friend 4u
