,target,_id,address,date,text,threadId
0,spam,8787,+6396****2373,02:10.1,"Welcome ! your have P1222 for S!ot , 
Web: 11y.life     
Good Luck!C",836
1,spam,8788,+6398****8852,33:48.9,"My god, at least 999P rewards waiting for you

UrI: pinaswin,com

Best Ba,raha  .r",837
2,spam,8789,+6394****0113,03:15.0,"DEAR VIP <REAL NAME>, No. 1 Online Sabong Site here in SBET!

Register now and Play Cockfighting and Slot Game Machine! You can claim your 100 FREE BET CREDIT and Win 88k Cash Prizes! here in sbet7now.com/SABONGNOW",838
3,spam,8790,+6395****4934,07:18.7,"<REAL NAME>! Today, you can win the iphone14PROMAX while earning a ton of cash prizes in W+. You can receive a 7777 Sign-up Bonus. click now! wp8luck.com/8888WIN",839
4,spam,8791,+6396****4401,28:56.6,"Welcome ! your have P1222 for S!ot , 
Web: great-s.life
Good Luck!U",841
5,spam,8792,+6396****7168,13:44.7,"Welcome ! your have P1222 for S!ot , 
Web: will-j.life
Good Luck!x",842
6,spam,8793,+6390****3826,29:52.3,"Hottest News! Join JB Day, Make it your day! Spin your luck here! Sign up now and get your Golden Egg! and we have Daily Deposit Bonus! antiviruspedia.net/Live",844
7,spam,8794,+6398****8042,26:17.8,"Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out.
Web: win-m.life",845
8,spam,8577,+6398****5939,10:16.4,Wag na masyadong mapakapagod dahil friday na! Isa sa pinaka the BE$T na gawin mamaya ay ang mag Enjoy dito! apkgametop.com/LivePH See you later my friend!,846
9,spam,8795,+6390****9355,39:10.1,Happy Weekend! Magrelax at Mag-Enjoy kasama ang pamilya! May Special Register B0NUS 8p CA$H Prize and chance to win of Golden Egg Draw! knetww.com/LiveAPP,847
10,spam,8796,+6391****6690,40:53.7,"Napaka ganda ng pasok ng Weekend! Dahil dito kay antiviruspedia.net/Live napaka daming B0nu$ naghihintay sayo, hindi lang yan dahil chance mo pang maging VIP!",848
11,spam,8797,+6391****7721,26:47.1,"Current users will send 10,000 USDT to experience the transaction gold.Google play or APP store search for mybitglobal to download apps",849
12,spam,8798,+6390****7694,08:23.4,Maglaro na at kolektahin ang mga Promotion Bonus na naghihintay sayo at ang mega jackpot x10 - x100 B3T! halina't mag laro ngayon dito! apkgametop.com/LivePH,850
13,spam,8799,+6398****0845,01:19.2,"Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out.
Web: game-j.life",851
14,spam,8800,+6391****1882,45:57.5,Cold Monday! This is your Lucky Day! DAhil nandit0 na si apkgametop.com/LivePH na laging nag bibigay ng premyo at B0nu$! Kaya Try m0 na dito! The Be$st dito.,852
15,spam,8801,+6398****9997,19:51.8,"GCash. Bet... GCash. Bet! Get FREE P1,000,000 bonus for GCASHBET! Free link http://phbetpo.shop/rH8",853
16,spam,8802,+6396****9200,13:26.5,Binabati kita! Mag-log in sa Lodi646 para makuha ang iyong lucky random bonus!   http://bet03.fan,854
17,spam,8803,+6398****5942,23:42.6,This is your LucKy day! DAhil JB Day ngayon! Mag $pin at makakuha ng maraming PRIZES! Wag mag alinlangan siguradong bubuhos ng swerte! antiviruspedia.net/Live,859
18,spam,8804,+6390****2956,34:23.6,Wag ng tumingin pa sa iba. Dahil ang hinahanap m0 at hinahanap ng iba ay nandit0 lang kay playbingo.com.ph/LegitAPP subukan m0 na walang mawawala sayo,860
